GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FurryOctoHipsterProximity,edu.chl.fohProximity.controller,ProjectController.ProjectButtonPressed,21,0,0,0,4,0,2,0,2,0
FurryOctoHipsterProximity,edu.chl.fohProximity.controller,ProjectController,23,0,0,0,6,0,2,0,2,0
FurryOctoHipsterProximity,edu.chl.fohProximity,Main,23,0,0,0,9,0,3,0,3,0
FurryOctoHipsterProximity,edu.chl.fohProximity.model,Project,0,13,0,0,0,4,0,3,0,3
FurryOctoHipsterProximity,edu.chl.fohProximity.view,ProjectView,60,0,0,0,15,0,3,0,3,0
